"DateAddedToCart","Source","ASIN","CartDomain","CartList","Quantity","OneClickBuyable","ToBeGiftWrapped","PrimeSubscription","Pantry","AddOn"
"01/19/2022 00:20:31 UTC","Retail","B07MFZXR1B","Not Applicable","saved","2","Yes","No","No","No","No"
"01/16/2022 03:36:12 UTC","Retail","B000MFN1G8","Not Applicable","saved","1","Yes","No","No","No","No"
"01/16/2022 01:20:32 UTC","Retail","B08C4TDK5N","Not Applicable","saved","1","No","No","No","No","No"
"01/15/2022 23:15:39 UTC","Retail","B0045AS39G","Not Applicable","saved","1","No","No","No","No","No"
"01/14/2022 00:14:23 UTC","Retail","B08MKZW65H","Not Applicable","saved","1","Yes","No","No","No","No"
"01/10/2022 13:25:02 UTC","Retail","B093244D1J","Not Applicable","saved","1","No","No","No","No","No"
"01/10/2022 13:21:42 UTC","Retail","B077V5NFGZ","Not Applicable","saved","1","No","No","No","No","No"
"01/09/2022 03:54:47 UTC","Retail","B01IJI4SVQ","Not Applicable","saved","1","No","No","No","No","No"
"01/08/2022 19:28:05 UTC","Retail","B08CX1HH1D","Not Applicable","saved","1","Yes","No","No","No","No"
"01/06/2022 05:59:55 UTC","Retail","B07H25G6FN","Not Applicable","saved","1","No","No","No","No","No"
"12/31/2021 14:08:07 UTC","Retail","B09JP76PGB","Not Applicable","saved","1","Yes","No","No","No","No"
"12/28/2021 10:13:05 UTC","Retail","B0031066V8","Not Applicable","saved","1","Yes","No","No","No","No"
"12/28/2021 10:11:30 UTC","Retail","B083FD8PYK","Not Applicable","saved","1","No","No","No","No","No"
"12/26/2021 00:56:51 UTC","Retail","B0844VQH5K","Not Applicable","saved","1","Yes","No","No","No","No"
"12/26/2021 00:56:28 UTC","Retail","B07DCWYS7H","Not Applicable","saved","1","Yes","No","No","No","No"
"12/26/2021 00:56:11 UTC","Retail","B077YCFP1C","Not Applicable","saved","1","No","No","No","No","No"
"12/24/2021 15:53:57 UTC","Retail","B01BC4TXXC","Not Applicable","saved","1","No","No","No","No","No"
"12/23/2021 17:16:41 UTC","Retail","B0179ZCGQ4","Not Applicable","saved","1","Yes","No","No","No","No"
"12/21/2021 17:26:13 UTC","Retail","B08GHX9G5L","Not Applicable","saved","1","Yes","No","No","No","No"
"12/21/2021 05:07:14 UTC","Retail","B0746BYDMD","Not Applicable","saved","1","No","No","No","No","No"
"12/19/2021 15:50:47 UTC","Retail","B096KPYZRD","Not Applicable","saved","1","Yes","No","No","No","No"
"12/18/2021 12:49:56 UTC","Retail","B08V5KKBPT","Not Applicable","saved","1","No","No","No","No","No"
"12/11/2021 12:08:24 UTC","Retail","B01FF0HU48","Not Applicable","saved","1","Yes","No","No","No","No"
"12/11/2021 03:41:07 UTC","Retail","B07V5JTMV9","Not Applicable","saved","1","No","No","No","No","No"
"12/04/2021 22:20:22 UTC","Retail","B0967TSRBM","Not Applicable","saved","1","Yes","No","No","No","No"
"12/04/2021 21:41:50 UTC","Retail","B07W1HKYQK","Not Applicable","saved","1","Yes","No","No","No","No"
"11/26/2021 16:59:23 UTC","Retail","B0042VK7UG","Not Applicable","saved","1","Yes","No","No","No","No"
"11/26/2021 03:59:58 UTC","Retail","B07WSTQWZ4","Not Applicable","saved","1","No","No","No","No","No"
"11/18/2021 20:04:13 UTC","Retail","B07L9SPBDM","Not Applicable","saved","1","Yes","No","No","No","No"
"11/06/2021 19:19:58 UTC","Retail","B00005RKOE","Not Applicable","saved","1","Yes","No","No","No","No"
"11/03/2021 22:16:16 UTC","Retail","B07T11JYLJ","Not Applicable","saved","1","Yes","No","No","No","No"
"11/01/2021 02:42:35 UTC","Retail","B088PK8XLJ","Not Applicable","saved","1","Yes","No","No","No","No"
"10/22/2021 15:39:57 UTC","Retail","B08GH9KL4M","Not Applicable","saved","1","Yes","No","No","No","No"
"10/18/2021 16:16:42 UTC","Retail","B07T2ZFNPL","Not Applicable","saved","1","No","No","No","No","No"
"10/06/2021 21:55:40 UTC","Retail","B08RLNWHRS","Not Applicable","saved","1","No","No","No","No","No"
"09/23/2021 02:31:00 UTC","Retail","B0936GZ7H3","Not Applicable","saved","1","No","No","No","No","No"
"09/18/2021 21:40:31 UTC","Retail","B0899MVHWT","Not Applicable","saved","1","No","No","No","No","No"
"08/28/2021 11:29:27 UTC","Retail","B079QH5KW1","Not Applicable","saved","1","No","No","No","No","No"
"08/27/2021 18:19:13 UTC","Retail","B086D6R92Y","Not Applicable","saved","1","Yes","No","No","No","No"
"08/17/2021 02:49:50 UTC","Retail","B00GC4PXE6","Not Applicable","saved","1","No","No","No","No","No"
"08/15/2021 00:08:10 UTC","Retail","B08NXXV2CZ","Not Applicable","saved","1","No","No","No","No","No"
"08/14/2021 22:17:56 UTC","Retail","B012FGY6M4","Not Applicable","saved","1","Yes","No","No","No","No"
"08/14/2021 22:16:48 UTC","Retail","B072BFRS95","Not Applicable","saved","1","Yes","No","No","No","No"
"08/09/2021 23:54:59 UTC","Retail","B08TWTYKX6","Not Applicable","saved","1","No","No","No","No","No"
"08/09/2021 23:32:43 UTC","Retail","B07GXP3VYD","Not Applicable","saved","1","No","No","No","No","No"
"08/05/2021 21:55:46 UTC","Retail","B0781SKPRZ","Not Applicable","saved","1","Yes","No","No","No","No"
"08/03/2021 04:13:54 UTC","Retail","B07QH8SP6N","Not Applicable","saved","1","No","No","No","No","No"
"08/02/2021 03:07:11 UTC","Retail","B0813L778N","Not Applicable","saved","1","No","No","No","No","No"
"08/02/2021 03:02:44 UTC","Retail","B07VK32BNL","Not Applicable","saved","1","Yes","No","No","No","No"
"08/01/2021 20:13:55 UTC","Retail","B00001NTXN","Not Applicable","saved","1","No","No","No","No","No"
"07/25/2021 21:14:35 UTC","Retail","B084GB3697","Not Applicable","saved","1","Yes","No","No","No","No"
"07/24/2021 19:00:24 UTC","Retail","B07439DYBR","Not Applicable","saved","1","Yes","No","No","No","No"
"06/27/2021 10:03:53 UTC","Retail","B08H3CTVF2","Not Applicable","saved","1","No","No","No","No","No"
"06/21/2021 13:31:42 UTC","Retail","B01MTLV42T","Not Applicable","saved","1","No","No","No","No","No"
"04/30/2021 22:15:55 UTC","Retail","B00EDQCOX8","Not Applicable","saved","1","Yes","No","No","No","No"
"03/09/2021 13:11:24 UTC","Retail","B07RV1GCR7","Not Applicable","saved","1","Yes","No","No","No","No"
"01/15/2021 12:51:54 UTC","Retail","B07RZBD3KC","Not Applicable","saved","1","No","No","No","No","No"
"01/15/2021 12:50:57 UTC","Retail","B0791C9PR2","Not Applicable","saved","1","Yes","No","No","No","No"
"12/19/2020 14:26:48 UTC","Retail","B0887HCH9V","Not Applicable","saved","1","No","No","No","No","No"
"12/19/2020 14:25:14 UTC","Retail","1449401414","Not Applicable","saved","1","No","No","No","No","No"
"12/14/2020 09:32:34 UTC","Retail","B01LZZNGD7","Not Applicable","saved","1","Yes","No","No","No","No"
"12/12/2020 13:24:10 UTC","Retail","B088JTRH58","Not Applicable","saved","1","Yes","No","No","No","No"
"12/01/2020 05:20:02 UTC","Retail","B01AKTFK6Y","Not Applicable","saved","1","Yes","No","No","No","No"
"11/28/2020 14:48:27 UTC","Retail","B07JBSXN1M","Not Applicable","saved","1","No","No","No","No","No"
"11/27/2020 00:18:00 UTC","Retail","B082KMKQQX","Not Applicable","saved","1","Yes","No","No","No","No"
"11/24/2020 02:25:38 UTC","Retail","B083W8PJPB","Not Applicable","saved","2","No","No","No","No","No"
"11/14/2020 14:36:47 UTC","Retail","B07512GND8","Not Applicable","saved","1","No","No","No","No","No"
"10/19/2020 13:37:05 UTC","Retail","B06XR5MWGM","Not Applicable","saved","1","No","No","No","No","No"
"10/18/2020 16:02:41 UTC","Retail","B07JXCR263","Not Applicable","saved","1","Yes","No","No","No","No"
"10/13/2020 18:10:54 UTC","Retail","B07Z2VTNYQ","Not Applicable","saved","1","Yes","No","No","No","No"
"10/13/2020 18:10:40 UTC","Retail","B07RY47PFS","Not Applicable","saved","2","Yes","No","No","No","No"
"09/26/2020 00:45:22 UTC","Retail","B01KI8XHTE","Not Applicable","saved","1","No","No","No","No","No"
"09/13/2020 15:48:00 UTC","Retail","B07P5PRK7J","Not Applicable","saved","1","Yes","No","No","No","No"
"09/07/2020 06:33:44 UTC","Retail","B00EZ6TL2S","Not Applicable","saved","2","No","No","No","No","No"
"08/20/2020 23:57:55 UTC","Retail","B0723599RQ","Not Applicable","saved","1","Yes","No","No","No","No"
"08/18/2020 22:19:36 UTC","Retail","B07DY16W2Z","Not Applicable","saved","1","Yes","No","No","No","No"
"06/25/2020 23:26:15 UTC","Retail","B00DG8QFCK","Not Applicable","saved","1","Yes","No","No","No","No"
"06/09/2020 02:37:24 UTC","Retail","B083F89RSS","Not Applicable","saved","2","No","No","No","No","No"
"05/26/2020 01:33:50 UTC","Retail","B07GGD6TZC","Not Applicable","saved","1","No","No","No","No","No"
"05/12/2020 12:47:18 UTC","Retail","B000K2NW08","Not Applicable","saved","1","Yes","No","No","No","No"
"05/09/2020 15:11:38 UTC","Retail","B07SLBFYM7","Not Applicable","saved","1","No","No","No","No","No"
"05/02/2020 00:13:14 UTC","Retail","B01MXDQCJF","Not Applicable","saved","1","No","No","No","No","No"
"04/14/2020 18:08:04 UTC","Retail","B07K21RHCD","Not Applicable","saved","1","No","No","No","No","No"
"02/09/2020 10:49:00 UTC","Retail","B00UUBRYS0","Not Applicable","saved","1","Yes","No","No","No","No"
"01/25/2020 01:45:39 UTC","Retail","B06X9KLW1P","Not Applicable","saved","1","Yes","No","No","No","No"
"01/03/2020 21:19:34 UTC","Retail","B01N76C56U","Not Applicable","saved","1","No","No","No","No","No"
"12/31/2019 13:27:43 UTC","Retail","B07KW31Q3M","Not Applicable","saved","1","Yes","No","No","No","No"
"11/29/2019 19:24:07 UTC","Retail","B07H43TNNF","Not Applicable","saved","1","Yes","Yes","No","No","No"
"09/13/2019 14:40:19 UTC","Retail","B001DHECXA","Not Applicable","saved","1","No","No","No","No","No"
